title,wiki_slug,year,screenwriters,directors,cast_from_list,genre,awards,notes,cast_count,period
כל ממזר מלך,כל_ממזר_מלך,1968,[],"[{""name"": ""אורי זוהר"", ""slug"": ""אורי_זוהר""}]","[{""name"": ""יהורם גאון"", ""slug"": ""יהורם_גאון""}, {""name"": ""עודד קוטלר"", ""slug"": ""עודד_קוטלר""}, {""name"": ""אורי לוי"", ""slug"": ""אורי_לוי_(שחקן)""}, {""name"": ""הגשש החיוור"", ""slug"": ""הגשש_החיוור""}]",דרמה,1968,,4,A (<=1970)
קומנדו סיני,,1968,[],"[{""name"": ""רפאל נוסבאום"", ""slug"": null}]",[],דרמה,1968,,0,A (<=1970)
איריס,איריס_(סרט),1968,[],"[{""name"": ""דוד גרינברג"", ""slug"": ""דוד_גרינברג""}]","[{""name"": ""ליאורה רימון"", ""slug"": null}, {""name"": ""גדעון שמר"", ""slug"": ""גדעון_שמר""}, {""name"": ""שמוליק קראוס"", ""slug"": ""שמוליק_קראוס""}, {""name"": ""יעקב בודו"", ""slug"": ""יעקב_בודו""}]",דרמה,1968,,4,A (<=1970)
הגלולה,הגלולה,1968,[],"[{""name"": ""דוד פרלוב"", ""slug"": ""דוד_פרלוב""}]","[{""name"": ""שרגא פרידמן"", ""slug"": ""שרגא_פרידמן""}, {""name"": ""יוסי בנאי"", ""slug"": ""יוסי_בנאי""}, {""name"": ""ז'רמן אוניקובסקי"", ""slug"": ""ז'רמן_אוניקובסקי""}]",,1968,,3,A (<=1970)
הגמל והילד,,1968,[],"[{""name"": ""משה גז"", ""slug"": null}]",[],,1968,,0,A (<=1970)
המטרה טיראן,המטרה_טיראן,1968,[],"[{""name"": ""רפאל נוסבאום"", ""slug"": null}]",[],,1968,,0,A (<=1970)
נס בעיירה,נס_בעיירה,1968,[],"[{""name"": ""ליאו פילר"", ""slug"": ""ליאו_פילר""}]","[{""name"": ""גדי יגיל"", ""slug"": ""גדי_יגיל""}, {""name"": ""דסי הדרי"", ""slug"": null}, {""name"": ""יעקב בודו"", ""slug"": ""יעקב_בודו""}]",ילדים,1968,,3,A (<=1970)
הצד השני,הצד_השני,1968,[],"[{""name"": ""אורי זוהר"", ""slug"": ""אורי_זוהר""}]",[],,1968,,0,A (<=1970)
אסירי החופש,אסירי_החופש,1968,[],"[{""name"": ""יונה זרצקי"", ""slug"": ""יונה_זרצקי""}]",[],דרמה,1968,,0,A (<=1970)
להט במים,להט_במים,1969,[],"[{""name"": ""יעקב המאירי"", ""slug"": ""יעקב_המאירי""}]","[{""name"": ""זאב רווח"", ""slug"": ""זאב_רווח""}, {""name"": ""עירית שילה"", ""slug"": ""עירית_שילה""}, {""name"": ""אבנר חזקיהו"", ""slug"": ""אבנר_חזקיהו""}, {""name"": ""יעקב הלפרין"", ""slug"": ""יעקב_הלפרין""}]",דרמה,1969,,4,A (<=1970)
חלומות,,1969,[],"[{""name"": ""יעקב ורדי"", ""slug"": ""יעקב_ורדי""}]",[],דרמה,1969,,0,A (<=1970)
חמישה ימים בסיני,חמישה_ימים_בסיני,1969,[],"[{""name"": ""מאוריציו לוצ'ידי"", ""slug"": null}]",[],דרמה,1969,,0,A (<=1970)
מצור,מצור_(סרט),1969,[],"[{""name"": ""ג'ילברטו טופאנו"", ""slug"": ""ג'ילברטו_טופאנו""}]","[{""name"": ""גילה אלמגור"", ""slug"": ""גילה_אלמגור""}, {""name"": ""יהורם גאון"", ""slug"": ""יהורם_גאון""}, {""name"": ""דן בן אמוץ"", ""slug"": ""דן_בן_אמוץ""}]",דרמה,1969,,3,A (<=1970)
