movie_slug,movie_title,year,genre,directors,cast_source,billing_position,actor_name,actor_slug
פורטונה_(סרט),פורטונה,1966,דרמה,"[{""name"": ""מנחם גולן"", ""slug"": ""מנחם_גולן""}]",list_table,0,גילה אלמגור,גילה_אלמגור
פורטונה_(סרט),פורטונה,1966,דרמה,"[{""name"": ""מנחם גולן"", ""slug"": ""מנחם_גולן""}]",list_table,1,יוסי בנאי,יוסי_בנאי
פורטונה_(סרט),פורטונה,1966,דרמה,"[{""name"": ""מנחם גולן"", ""slug"": ""מנחם_גולן""}]",list_table,2,שמוליק קראוס,שמוליק_קראוס
פורטונה_(סרט),פורטונה,1966,דרמה,"[{""name"": ""מנחם גולן"", ""slug"": ""מנחם_גולן""}]",list_table,3,אברהם מור,אברהם_מור
פורטונה_(סרט),פורטונה,1966,דרמה,"[{""name"": ""מנחם גולן"", ""slug"": ""מנחם_גולן""}]",list_table,4,אבנר חזקיהו,אבנר_חזקיהו
פורטונה_(סרט),פורטונה,1966,דרמה,"[{""name"": ""מנחם גולן"", ""slug"": ""מנחם_גולן""}]",list_table,5,שלישיית הגשש החיוור,הגשש_החיוור
שני_קוני_למל_(סרט),שני קוני למל,1966,קומדיה,"[{""name"": ""ישראל בקר"", ""slug"": ""ישראל_בקר""}]",list_table,0,מייק בורשטיין,מייק_בורשטיין
שני_קוני_למל_(סרט),שני קוני למל,1966,קומדיה,"[{""name"": ""ישראל בקר"", ""slug"": ""ישראל_בקר""}]",list_table,1,רפאל קלצ'קין,רפאל_קלצ'קין
שני_קוני_למל_(סרט),שני קוני למל,1966,קומדיה,"[{""name"": ""ישראל בקר"", ""slug"": ""ישראל_בקר""}]",list_table,2,ז'רמן אוניקובסקי,ז'רמן_אוניקובסקי
שני_קוני_למל_(סרט),שני קוני למל,1966,קומדיה,"[{""name"": ""ישראל בקר"", ""slug"": ""ישראל_בקר""}]",list_table,3,שמואל רודנסקי,שמואל_רודנסקי
שני_קוני_למל_(סרט),שני קוני למל,1966,קומדיה,"[{""name"": ""ישראל בקר"", ""slug"": ""ישראל_בקר""}]",list_table,4,אלישבע מיכאלי,אלישבע_מיכאלי
__title__:60 שעות לסואץ__1967,60 שעות לסואץ,1967,דרמה,"[{""name"": ""יעקב יגר"", ""slug"": ""יעקב_יגר""}]",list_table,0,מישא אשרוב,מישא_אשרוב
__title__:60 שעות לסואץ__1967,60 שעות לסואץ,1967,דרמה,"[{""name"": ""יעקב יגר"", ""slug"": ""יעקב_יגר""}]",list_table,1,אביבה מרקס,אביבה_מרקס
