actor_id,actor_name,actor_slug,first_year,last_year,film_count
שלמה_וישינסקי,שלמה וישינסקי,שלמה_וישינסקי,1974,1974,1
יוסי_סגל,יוסי סגל,יוסי_סגל,1974,1974,1
ריצ'רד_ראונדטרי,ריצ'רד ראונדטרי,ריצ'רד_ראונדטרי,1975,1975,1
יאיר_רובין,יאיר רובין,יאיר_רובין,1970,1975,3
אבישי_אביבי,אבישי אביבי,אבישי_אביבי,1975,1975,1
רפי_נלסון,רפי נלסון,רפי_נלסון,1975,1975,1
לאונרד_ויטינג,לאונרד ויטינג,לאונרד_ויטינג,1975,1975,1
מני_פאר,מני פאר,מני_פאר,1971,1975,3
מרדכי_בן-זאב,מרדכי בן-זאב,מרדכי_בן-זאב,1975,1975,1
ראובן_בר_יותם,ראובן בר יותם,ראובן_בר_יותם,1975,1975,1
__name__:רוברט שואו,רוברט שואו,,1975,1975,1
זאב_ברלינסקי,זאב ברלינסקי,זאב_ברלינסקי,1971,1976,3
אלישבע_מיכאלי,אלישבע מיכאלי,אלישבע_מיכאלי,1955,1976,6
