u,v,years_ahead,probability,v_career_length,director_overlap
גילה_אלמגור,ישי_גולן,3,0.5106071521135362,1,1
לירון_לבו,נטלי_עטיה,3,0.7610881745131558,18,1
שלומי_קוריאט,תומר_שרון,3,0.7788097748692064,1,0
יהורם_גאון,שלומי_קוריאט,3,0.9198325125316742,5,1
אניה_בוקשטיין,ליא_קניג,3,0.6975913583216397,45,1
לירון_בן-שלוש,שרון_אלכסנדר,3,0.8374216086006094,32,1
עופר_חיון,עופר_שכטר,3,0.713345712060622,10,1
יהורם_גאון,תומר_שרון,3,0.682690467642282,1,0
יעל_אבקסיס,נטלי_עטיה,3,0.8126043655083597,18,1
שירה_האס,שרה_אדלר,3,0.6974311809220537,9,1
נעמי_לבוב,שלומי_קוריאט,3,0.6190959515216566,5,1
דביר_בנדק,קובי_פרג',3,0.9885671417854464,2,1
אורי_הוכמן,יעל_אבקסיס,3,0.5913423834708333,23,0
דאנה_איבגי,יעל_אבקסיס,3,0.9583267802533858,23,3
גיל_פרנק,נתן_רביץ,3,0.8377842502449548,1,1
משה_איבגי,נטלי_עטיה,3,0.7809256929856587,18,1
הילה_פלדמן,מיכאל_אלוני,3,0.6173362268688646,5,1
חיים_זנאתי,רותם_זיסמן-כהן,3,0.5129134243006481,4,1
דביר_בנדק,דודו_טסה,3,0.931511055177447,1,1
אליאנה_תדהר,עפר_שכטר,3,0.8268904767463027,4,0
אורי_הוכמן,משה_איבגי,3,0.6225121365933518,32,0
אניה_בוקשטיין,קרן_מור,3,0.9966666666666667,25,2
דודו_טסה,קובי_פרג',3,0.870115116612706,2,1
שמיל_בן_ארי,שרון_אלכסנדר,3,0.9933333333333333,32,2
נעמי_לבוב,עוז_זהבי,3,0.6738675595401479,6,1
קרן_ברגר,רועי_אסף,3,0.96832895888014,7,1
משה_איבגי,נורמן_עיסא,3,0.9312100494357413,1,1
יובל_סגל_(1971),מיה_דגן,3,0.939753246736212,5,1
אליאנה_תדהר,שלומי_קוריאט,3,0.7032818261999256,5,0
יורם_חטב,שרון_אלכסנדר,3,0.8807470426653032,32,1
אנה_דוברוביצקי,שמיל_בן_ארי,3,0.8913685971815903,19,1
גילה_אלמגור,מיקי_לאון,3,0.9354084455926841,5,1
מיטל_גל_סויסה,מלי_לוי,3,0.811462091896454,10,1
אושרי_כהן,נעמי_לבוב,3,0.861663690526509,1,1
מוריס_כהן_(שחקן),רותם_זיסמן-כהן,3,0.6530451267104883,4,1
גל_זייד,יובל_סגל_(1971),3,0.9628358428922077,12,1
אושרי_כהן,שלומי_קוריאט,3,0.9482925839832341,5,1
אוולין_הגואל,חיים_זנאתי,3,0.8484748469053636,3,1
אנה_דוברוביצקי,לירון_בן-שלוש,3,0.6664149345837647,6,1
ליאור_אשכנזי,שרה_אדלר,3,0.9092193702096252,9,1
ישי_גולן,מיכאל_אלוני,3,0.6837690629725021,5,1
אורי_גבריאל,שי_אביבי,4,0.9966666666666667,22,1
מיכאל_אלוני,מיקי_לאון,4,0.8359699125912007,5,2
אנה_דוברוביצקי,יורם_חטב,4,0.9107053724082734,6,1
יפתח_קליין,ליא_קניג,4,0.631394877300826,45,1
דניאל_מורשת,עפר_שכטר,4,0.8304978286719912,4,0
יחזקאל_לזרוב,יעל_אבקסיס,4,1.0,23,1
אריה_צ'רנר,יובל_סגל_(1971),4,0.9304587412987301,12,0
דב_נבון,יעל_אבקסיס,4,1.0,23,1
עוז_זהבי,עירית_שלג,4,0.8368371062191424,32,1
אלון_אבוטבול,עלי_סלימאן,4,0.9809301131993141,1,1
יגאל_נאור,עדנה_בליליוס,4,0.8842188676388768,1,1
אודי_פרסי,שמיל_בן_ארי,4,0.745782916405921,19,0
יפתח_קליין,קרן_מור,4,0.9966666666666667,25,1
אושרי_כהן,אליאנה_תדהר,4,0.587938657682672,1,0
מיה_דגן,נתן_רביץ,4,0.9137018116702613,1,1
אלון_אבוטבול,יאנה_יוסף,4,0.8252498992626355,1,0
אודי_פרסי,לירון_בן-שלוש,4,0.5770789519746579,6,0
חיים_זנאתי,יגאל_נאור,4,0.5259265991867038,18,1
יובל_שרף,יערה_פלציג,4,0.8388318543398909,1,1
אודי_פרסי,יורם_חטב,4,0.6772135125612967,6,0
דניאל_גד,עפר_שכטר,4,0.7935420933760717,4,0
אורי_הוכמן,צחי_גראד,4,0.7789686918752041,10,0
אוולין_הגואל,יגאל_נאור,4,0.9691030288354526,18,1
אברהם_סלקטר,יגאל_נאור,4,0.5136352959400003,18,1
אריה_צ'רנר,גל_זייד,4,0.7792618514613351,6,0
גילת_אנקורי,דביר_בנדק,4,0.5449836336960575,15,1
טלי_שרון,יאנה_יוסף,4,0.5769337985532431,1,0
ישי_גולן,מיקי_לאון,4,0.5715749849763343,5,1
עפר_שכטר,תובל_שפיר,4,0.5457507270035212,1,0
עוז_זהבי,שלומי_קוריאט,4,0.7938018160270005,5,1
אביגיל_אריאלי,תובל_שפיר,4,0.5506386616914055,1,0
אביגיל_אריאלי,אורי_פפר,4,0.7014787098928597,2,1
דניאל_גד,תובל_שפיר,4,0.7312519516457988,1,0
לירון_בן-שלוש,שמיל_בן_ארי,4,0.9177651438675061,19,1
מיה_דגן,ששון_גבאי,4,0.9904147566033618,26,1
גיל_פרנק,מיה_דגן,4,0.8906342223183905,5,1
דביר_בנדק,רועי_אסף,4,0.9558300481822164,7,1
דאנה_איבגי,נטלי_עטיה,4,0.7554843048066905,18,1
חיים_אוסדון,שלומי_קוריאט,4,0.8105964403562169,5,0
אנה_דוברוביצקי,שרון_אלכסנדר,4,0.8370259111434517,32,1
חיים_אוסדון,תומר_שרון,4,0.6156883736115386,1,0
אוולין_הגואל,מיטל_גל_סויסה,4,0.923807385229541,2,1
אוולין_הגואל,אורנה_בנאי,4,0.8149606461418312,9,1
יורם_חטב,שמיל_בן_ארי,4,0.8398314776041862,19,1
דב_נבון,יחזקאל_לזרוב,4,1.0,19,1
עופר_חיון,צחי_גראד,4,0.8979837240399722,10,1
גילה_אלמגור,מרים_זוהר,4,0.8672223965204758,1,2
דנה_פרידר,עופר_חיון,4,0.6116137005446745,7,1
יורם_חטב,לירון_בן-שלוש,4,0.7813068436207193,6,1
יבגניה_דודינה,שי_אביבי,4,0.9966666666666667,22,1
ליאור_אשכנזי,שירה_האס,4,0.8360047230302199,1,1
חנן_סביון,יגאל_נאור,4,0.6453237953751875,18,0
דביר_בנדק,קרן_ברגר,4,0.930347842232174,2,1
גילה_אלמגור,עודד_תאומי,4,0.8063678712656422,51,6
__name__:יבגני אורלוב,משה_אשכנזי_(שחקן),4,0.6284706138755697,1,0
אוולין_הגואל,מלי_לוי,4,0.9431701107574835,10,1
טלי_שרון,עלי_סלימאן,4,0.8669197815617254,1,1
אוולין_הגואל,איציק_כהן_(שחקן),4,0.8854282483049951,1,1
יעל_אבקסיס,שרון_אלכסנדר,4,0.9966666666666667,32,3
אודי_פרסי,שרון_אלכסנדר,4,0.8768782290082735,32,0
אניה_בוקשטיין,יפתח_קליין,4,0.9674305944912095,6,1
משה_איבגי,שרון_אלכסנדר,4,0.9933333333333333,32,6
גיל_פרנק,דרור_קרן,4,0.8974794763050643,18,1
אליאנה_תדהר,עוז_זהבי,4,0.8680523911263259,6,0
יובל_סגל_(1971),ששון_גבאי,4,0.9970814232700285,26,1
דניאל_גד,דניאל_מורשת,4,0.7312519516457988,1,0
גילה_אלמגור,מיכאל_אלוני,4,1.0,5,1
מוחמד_בכרי,פלורנס_בלוך,4,0.9343658657107687,9,1
נטלי_עטיה,שרון_אלכסנדר,4,0.6424701877610935,32,2
אושרי_כהן,עוז_זהבי,4,0.8188040057747756,6,1
אושרי_כהן,לנה_אטינגר,4,0.7701791782799007,1,1
אורי_פפר,תובל_שפיר,4,0.710033144499091,1,0
אושרי_כהן,רותם_זיסמן-כהן,4,0.9952338084521131,4,2
לירון_לבו,משה_איבגי,4,0.9833333333333333,32,2
__name__:יבגני אורלוב,אולג_לוין,4,0.5264692614467237,1,0
אלון_דהן_(שחקן),מוריס_כהן_(שחקן),4,0.5214898150596561,1,1
ליא_קניג,קרן_מור,4,0.7476323312030356,25,1
אלון_דהן_(שחקן),רותם_זיסמן-כהן,4,0.62340210943274,4,1
אריה_צ'רנר,ריקי_בליך,4,0.5139154667037228,12,0
אורי_הוכמן,שרון_אלכסנדר,4,0.507974478235239,32,0
